No,LAG_21_STN_144_PM10,LAG_21_STN_144_PM10_7_DIFF,LAG_14_STN_144_PM10,LAG_14_STN_144_PM10_7_DIFF,LAG_7_STN_144_PM10,LAG_7_STN_144_PM10_7_DIFF,CURRENT_STN_144_PM10_7_DIFF,Date,STN_531_PM10,STN_60_PM10,STN_59_PM10,STN_55_PM10,STN_57_PM10,STN_58_PM10,STN_144_PM10,STN_146_PM10,STN_345_PM10,TARGET_STN_144_PM10_7_VALUE,TARGET_STN_144_PM10_7_DIFF
1229,124.0,46.0,,,,,,2014-05-13,146.0,,,138.0,,,77.0,,106.0,141.0,64.0
1230,164.0,,,,,,,2014-05-14,,,,,,,96.0,,150.0,137.0,41.0
1231,,,,,,,,2014-05-15,,204.0,,,276.0,,65.0,,168.0,180.0,115.0
1236,,,,,77.0,,64.0,2014-05-20,,202.0,,,208.0,,141.0,143.0,,153.0,12.0
1237,,,,,96.0,,41.0,2014-05-21,,,313.0,,,333.0,137.0,152.0,,137.0,0.0
1264,153.0,12.0,,,,,,2014-06-17,,,163.0,,,236.0,136.0,,230.0,163.0,27.0
1265,137.0,0.0,,,,,,2014-06-18,203.0,,,176.0,,,71.0,,128.0,101.0,30.0
1327,58.0,,,,,,,2014-08-19,146.0,,,217.0,,,140.0,129.0,,47.0,-93.0
1328,68.0,,,,,,,2014-08-20,,147.0,,,189.0,,158.0,110.0,,67.0,-91.0
1349,158.0,,67.0,-91.0,,,,2014-09-10,,,130.0,,,190.0,51.0,,,56.0,5.0
1412,,,,,,,,2014-11-12,228.0,,,237.0,,,286.0,,469.0,254.0,-32.0
1418,,,,,,,,2014-11-18,,,296.0,,,355.0,194.0,,709.0,219.0,25.0
1419,,,,,286.0,,-32.0,2014-11-19,247.0,,,481.0,,,254.0,,609.0,274.0,20.0
1420,,,332.0,,,,,2014-11-20,,348.0,,,464.0,,258.0,,581.0,355.0,97.0
1426,,,286.0,,254.0,-32.0,20.0,2014-11-26,,,231.0,,,414.0,274.0,309.0,,72.0,-202.0
1429,56.0,,,,,,,2014-11-29,,,,,,,306.0,,,243.0,-63.0
