hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,N,S,E,W,Date
2,65.0,-8,-7.0,1026.0,65.71,6,0,0,1,1,0,2010-01-03 02:00:00
3,55.0,-8,-7.0,1025.0,68.84,7,0,0,1,1,0,2010-01-03 03:00:00
4,65.0,-8,-7.0,1024.0,72.86,8,0,0,1,1,0,2010-01-03 04:00:00
5,83.0,-9,-8.0,1024.0,76.88,9,0,0,1,1,0,2010-01-03 05:00:00
6,91.0,-10,-8.0,1024.0,80.9,10,0,0,1,1,0,2010-01-03 06:00:00
7,86.0,-10,-9.0,1024.0,84.92,11,0,0,1,1,0,2010-01-03 07:00:00
8,82.0,-10,-9.0,1024.0,89.84,12,0,0,1,1,0,2010-01-03 08:00:00
9,86.0,-11,-9.0,1023.0,93.86,13,0,0,1,1,0,2010-01-03 09:00:00
10,78.0,-11,-9.0,1023.0,97.88,15,0,0,1,1,0,2010-01-03 10:00:00
11,98.0,-11,-9.0,1022.0,102.8,16,0,0,1,1,0,2010-01-03 11:00:00
12,107.0,-11,-9.0,1021.0,105.93,17,0,0,1,1,0,2010-01-03 12:00:00
13,90.0,-11,-9.0,1020.0,111.74,19,0,0,1,1,0,2010-01-03 13:00:00
14,96.0,-11,-9.0,1020.0,116.66,20,0,0,1,1,0,2010-01-03 14:00:00
15,95.0,-11,-9.0,1020.0,121.58,21,0,0,1,1,0,2010-01-03 15:00:00
16,86.0,-11,-9.0,1020.0,124.71,22,0,0,1,1,0,2010-01-03 16:00:00
17,70.0,-11,-9.0,1020.0,127.84,23,0,0,1,1,0,2010-01-03 17:00:00
18,61.0,-11,-9.0,1021.0,0.89,24,0,0,0,0,0,2010-01-03 18:00:00
19,53.0,-11,-9.0,1022.0,1.78,25,0,0,0,0,0,2010-01-03 19:00:00
20,71.0,-10,-9.0,1022.0,4.02,26,0,1,0,0,1,2010-01-03 20:00:00
21,72.0,-11,-10.0,1023.0,7.15,27,0,1,0,0,1,2010-01-03 21:00:00
22,76.0,-11,-9.0,1023.0,11.17,0,0,1,0,0,1,2010-01-03 22:00:00
23,73.0,-12,-11.0,1023.0,14.3,0,0,1,0,0,1,2010-01-03 23:00:00
0,79.0,-14,-12.0,1023.0,16.09,0,0,1,0,0,1,2010-01-04 00:00:00
1,58.0,-16,-9.0,1023.0,21.9,0,0,1,0,0,1,2010-01-04 01:00:00
2,25.0,-17,-10.0,1024.0,29.95,0,0,1,0,0,1,2010-01-04 02:00:00
3,26.0,-18,-11.0,1024.0,39.78,0,0,1,0,0,1,2010-01-04 03:00:00
4,28.0,-19,-11.0,1025.0,48.72,0,0,1,0,0,1,2010-01-04 04:00:00
5,26.0,-20,-12.0,1026.0,55.87,0,0,1,0,0,1,2010-01-04 05:00:00
6,20.0,-21,-12.0,1027.0,64.81,0,0,1,0,0,1,2010-01-04 06:00:00
7,29.0,-21,-13.0,1027.0,73.75,0,0,1,0,0,1,2010-01-04 07:00:00
8,26.0,-22,-13.0,1028.0,80.9,0,0,1,0,0,1,2010-01-04 08:00:00
9,27.0,-22,-13.0,1029.0,90.73,0,0,1,0,0,1,2010-01-04 09:00:00
10,27.0,-22,-12.0,1030.0,100.56,0,0,1,0,0,1,2010-01-04 10:00:00
11,25.0,-23,-12.0,1031.0,108.61,0,0,1,0,0,1,2010-01-04 11:00:00
12,29.0,-21,-11.0,1030.0,117.55,0,0,1,0,0,1,2010-01-04 12:00:00
13,32.0,-20,-10.0,1030.0,127.38,0,0,1,0,0,1,2010-01-04 13:00:00
14,28.0,-21,-10.0,1030.0,136.32,0,0,1,0,0,1,2010-01-04 14:00:00
15,29.0,-21,-9.0,1030.0,145.26,0,0,1,0,0,1,2010-01-04 15:00:00
16,30.0,-21,-9.0,1031.0,152.41,0,0,1,0,0,1,2010-01-04 16:00:00
17,30.0,-20,-11.0,1032.0,159.56,0,0,1,0,0,1,2010-01-04 17:00:00
18,28.0,-23,-11.0,1032.0,165.37,0,0,1,0,0,1,2010-01-04 18:00:00
19,26.0,-21,-12.0,1033.0,171.18,0,0,1,0,0,1,2010-01-04 19:00:00
20,31.0,-24,-12.0,1034.0,180.12,0,0,1,0,0,1,2010-01-04 20:00:00
21,33.0,-24,-13.0,1034.0,187.27,0,0,1,0,0,1,2010-01-04 21:00:00
22,29.0,-24,-13.0,1035.0,195.32,0,0,1,0,0,1,2010-01-04 22:00:00
23,31.0,-26,-15.0,1035.0,198.45,0,0,1,0,0,1,2010-01-04 23:00:00
0,30.0,-26,-17.0,1035.0,201.58,0,0,1,0,0,1,2010-01-05 00:00:00
1,34.0,-26,-18.0,1035.0,205.6,0,0,1,0,0,1,2010-01-05 01:00:00
2,27.0,-26,-19.0,1035.0,208.73,0,0,1,0,0,1,2010-01-05 02:00:00
3,25.0,-27,-18.0,1035.0,213.65,0,0,1,0,0,1,2010-01-05 03:00:00
4,28.0,-27,-19.0,1035.0,218.57,0,0,1,0,0,1,2010-01-05 04:00:00
5,28.0,-27,-16.0,1034.0,4.92,0,0,1,0,1,0,2010-01-05 05:00:00
6,27.0,-26,-16.0,1035.0,8.05,0,0,1,0,1,0,2010-01-05 06:00:00
7,27.0,-27,-16.0,1034.0,13.86,0,0,1,0,1,0,2010-01-05 07:00:00
8,27.0,-26,-16.0,1035.0,18.78,0,0,1,0,1,0,2010-01-05 08:00:00
9,29.0,-26,-15.0,1035.0,24.59,0,0,1,0,1,0,2010-01-05 09:00:00
10,36.0,-25,-14.0,1035.0,29.51,0,0,1,0,1,0,2010-01-05 10:00:00
11,30.0,-25,-13.0,1035.0,34.43,0,0,1,0,1,0,2010-01-05 11:00:00
12,27.0,-25,-12.0,1034.0,39.35,0,0,1,0,1,0,2010-01-05 12:00:00
13,39.0,-24,-11.0,1032.0,41.14,0,0,1,0,1,0,2010-01-05 13:00:00
14,41.0,-22,-11.0,1032.0,0.89,0,0,0,0,0,0,2010-01-05 14:00:00
15,33.0,-23,-11.0,1031.0,1.79,0,0,1,0,0,1,2010-01-05 15:00:00
16,50.0,-24,-11.0,1031.0,3.58,0,0,1,0,0,1,2010-01-05 16:00:00
17,56.0,-23,-11.0,1031.0,5.37,0,0,1,0,0,1,2010-01-05 17:00:00
18,59.0,-23,-11.0,1032.0,7.16,0,0,1,0,0,1,2010-01-05 18:00:00
19,60.0,-22,-13.0,1033.0,10.29,0,0,1,0,0,1,2010-01-05 19:00:00
20,84.0,-22,-12.0,1033.0,13.42,0,0,1,0,0,1,2010-01-05 20:00:00
21,106.0,-24,-18.0,1033.0,16.55,0,0,1,0,0,1,2010-01-05 21:00:00
22,66.0,-22,-13.0,1034.0,20.57,0,0,1,0,0,1,2010-01-05 22:00:00
23,50.0,-22,-16.0,1033.0,23.7,0,0,1,0,0,1,2010-01-05 23:00:00
0,56.0,-25,-17.0,1033.0,26.83,0,0,1,0,0,1,2010-01-06 00:00:00
1,77.0,-25,-14.0,1033.0,4.02,0,0,1,0,1,0,2010-01-06 01:00:00
2,50.0,-26,-14.0,1034.0,8.04,0,0,1,0,1,0,2010-01-06 02:00:00
3,44.0,-26,-14.0,1033.0,13.85,0,0,1,0,1,0,2010-01-06 03:00:00
4,27.0,-26,-14.0,1033.0,17.87,0,0,1,0,1,0,2010-01-06 04:00:00
5,28.0,-26,-14.0,1033.0,23.68,0,0,1,0,1,0,2010-01-06 05:00:00
6,21.0,-26,-14.0,1033.0,28.6,0,0,1,0,1,0,2010-01-06 06:00:00
7,25.0,-26,-15.0,1034.0,33.52,0,0,1,0,1,0,2010-01-06 07:00:00
8,20.0,-26,-14.0,1034.0,39.33,0,0,1,0,1,0,2010-01-06 08:00:00
9,29.0,-25,-13.0,1035.0,44.25,0,0,1,0,1,0,2010-01-06 09:00:00
10,34.0,-25,-12.0,1035.0,50.06,0,0,1,0,1,0,2010-01-06 10:00:00
11,42.0,-24,-11.0,1035.0,54.98,0,0,1,0,1,0,2010-01-06 11:00:00
12,28.0,-24,-10.0,1034.0,59.0,0,0,1,0,1,0,2010-01-06 12:00:00
13,36.0,-22,-10.0,1033.0,4.02,0,0,1,0,0,1,2010-01-06 13:00:00
14,48.0,-22,-9.0,1033.0,5.81,0,0,1,0,0,1,2010-01-06 14:00:00
15,49.0,-22,-8.0,1033.0,0.89,0,0,0,0,0,0,2010-01-06 15:00:00
16,52.0,-22,-8.0,1033.0,1.79,0,0,1,0,0,1,2010-01-06 16:00:00
17,56.0,-21,-9.0,1033.0,3.58,0,0,1,0,0,1,2010-01-06 17:00:00
18,96.0,-22,-9.0,1033.0,5.37,0,0,1,0,0,1,2010-01-06 18:00:00
19,75.0,-22,-14.0,1034.0,0.89,0,0,0,0,0,0,2010-01-06 19:00:00
20,105.0,-22,-12.0,1035.0,1.79,0,0,1,0,0,1,2010-01-06 20:00:00
21,132.0,-21,-14.0,1034.0,3.58,0,0,1,0,0,1,2010-01-06 21:00:00
22,93.0,-22,-16.0,1035.0,5.37,0,0,1,0,0,1,2010-01-06 22:00:00
23,131.0,-21,-16.0,1035.0,7.16,0,0,1,0,0,1,2010-01-06 23:00:00
0,127.0,-21,-16.0,1035.0,8.95,0,0,1,0,0,1,2010-01-07 00:00:00
1,130.0,-21,-16.0,1035.0,0.45,0,0,0,0,0,0,2010-01-07 01:00:00
2,43.0,-22,-18.0,1036.0,1.34,0,0,0,0,0,0,2010-01-07 02:00:00
3,37.0,-23,-15.0,1036.0,4.02,0,0,1,0,0,1,2010-01-07 03:00:00
4,30.0,-24,-16.0,1035.0,7.15,0,0,1,0,0,1,2010-01-07 04:00:00
5,28.0,-25,-15.0,1035.0,10.28,0,0,1,0,0,1,2010-01-07 05:00:00
6,24.0,-24,-15.0,1035.0,14.3,0,0,1,0,0,1,2010-01-07 06:00:00
7,23.0,-25,-13.0,1036.0,4.92,0,0,1,0,1,0,2010-01-07 07:00:00
8,24.0,-24,-14.0,1036.0,4.02,0,0,1,0,0,1,2010-01-07 08:00:00
9,27.0,-23,-12.0,1036.0,8.94,0,0,1,0,0,1,2010-01-07 09:00:00
10,40.0,-22,-11.0,1036.0,12.96,0,0,1,0,0,1,2010-01-07 10:00:00
11,42.0,-20,-10.0,1036.0,16.09,0,0,1,0,0,1,2010-01-07 11:00:00
12,42.0,-21,-9.0,1035.0,19.22,0,0,1,0,0,1,2010-01-07 12:00:00
13,55.0,-21,-8.0,1034.0,21.01,0,0,1,0,0,1,2010-01-07 13:00:00
14,52.0,-20,-7.0,1033.0,22.8,0,0,1,0,0,1,2010-01-07 14:00:00
15,51.0,-20,-7.0,1032.0,24.59,0,0,1,0,0,1,2010-01-07 15:00:00
16,57.0,-18,-8.0,1032.0,26.38,0,0,1,0,0,1,2010-01-07 16:00:00
17,50.0,-19,-9.0,1032.0,28.17,0,0,1,0,0,1,2010-01-07 17:00:00
18,54.0,-19,-11.0,1032.0,0.89,0,0,1,0,1,0,2010-01-07 18:00:00
19,67.0,-18,-11.0,1033.0,1.79,0,0,1,0,0,1,2010-01-07 19:00:00
20,106.0,-19,-15.0,1032.0,1.79,0,0,1,0,1,0,2010-01-07 20:00:00
21,159.0,-19,-14.0,1032.0,0.45,0,0,0,0,0,0,2010-01-07 21:00:00
22,198.0,-21,-14.0,1032.0,1.34,0,0,0,0,0,0,2010-01-07 22:00:00
23,190.0,-21,-16.0,1032.0,2.23,0,0,0,0,0,0,2010-01-07 23:00:00
0,210.0,-21,-17.0,1031.0,1.79,0,0,1,0,0,1,2010-01-08 00:00:00
1,195.0,-19,-16.0,1031.0,3.58,0,0,1,0,0,1,2010-01-08 01:00:00
2,275.0,-20,-16.0,1031.0,0.89,0,0,1,0,1,0,2010-01-08 02:00:00
3,164.0,-19,-15.0,1030.0,0.89,0,0,0,1,1,0,2010-01-08 03:00:00
4,110.0,-18,-15.0,1030.0,0.45,0,0,0,0,0,0,2010-01-08 04:00:00
5,100.0,-18,-15.0,1029.0,1.34,0,0,0,0,0,0,2010-01-08 05:00:00
6,81.0,-18,-15.0,1029.0,1.79,0,0,1,0,0,1,2010-01-08 06:00:00
7,71.0,-16,-13.0,1029.0,0.89,0,0,1,0,1,0,2010-01-08 07:00:00
8,66.0,-16,-12.0,1029.0,0.89,0,0,0,1,1,0,2010-01-08 08:00:00
9,92.0,-16,-12.0,1030.0,1.78,0,0,0,1,1,0,2010-01-08 09:00:00
10,135.0,-17,-10.0,1030.0,0.89,0,0,1,0,1,0,2010-01-08 10:00:00
11,155.0,-16,-10.0,1029.0,0.89,0,0,0,0,0,0,2010-01-08 11:00:00
12,198.0,-16,-9.0,1028.0,3.13,0,0,0,1,1,0,2010-01-08 12:00:00
13,250.0,-15,-8.0,1026.0,4.92,0,0,0,1,1,0,2010-01-08 13:00:00
14,200.0,-16,-8.0,1026.0,0.89,0,0,0,0,0,0,2010-01-08 14:00:00
15,231.0,-16,-8.0,1025.0,1.78,0,0,0,0,0,0,2010-01-08 15:00:00
16,250.0,-16,-8.0,1025.0,2.67,0,0,0,0,0,0,2010-01-08 16:00:00
17,212.0,-17,-8.0,1025.0,0.89,0,0,0,1,1,0,2010-01-08 17:00:00
18,219.0,-17,-9.0,1026.0,0.45,0,0,0,0,0,0,2010-01-08 18:00:00
19,227.0,-17,-11.0,1026.0,1.34,0,0,0,0,0,0,2010-01-08 19:00:00
20,226.0,-17,-12.0,1026.0,1.79,0,0,0,0,0,0,2010-01-08 20:00:00
21,225.0,-18,-14.0,1027.0,1.79,0,0,1,0,0,1,2010-01-08 21:00:00
22,168.0,-16,-9.0,1027.0,4.92,0,0,1,0,0,1,2010-01-08 22:00:00
23,169.0,-16,-11.0,1027.0,6.71,0,0,1,0,0,1,2010-01-08 23:00:00
0,165.0,-17,-13.0,1027.0,0.89,0,0,0,0,0,0,2010-01-09 00:00:00
1,159.0,-17,-13.0,1027.0,3.13,0,0,1,0,0,1,2010-01-09 01:00:00
2,167.0,-17,-14.0,1027.0,4.92,0,0,1,0,0,1,2010-01-09 02:00:00
3,196.0,-17,-15.0,1027.0,8.05,0,0,1,0,0,1,2010-01-09 03:00:00
4,169.0,-17,-13.0,1027.0,9.84,0,0,1,0,0,1,2010-01-09 04:00:00
5,155.0,-19,-16.0,1027.0,13.86,0,0,1,0,0,1,2010-01-09 05:00:00
6,119.0,-18,-15.0,1027.0,17.88,0,0,1,0,0,1,2010-01-09 06:00:00
7,106.0,-19,-15.0,1027.0,21.9,0,0,1,0,0,1,2010-01-09 07:00:00
8,93.0,-18,-14.0,1028.0,25.92,0,0,1,0,0,1,2010-01-09 08:00:00
9,84.0,-18,-9.0,1029.0,5.81,0,0,1,0,1,0,2010-01-09 09:00:00
10,73.0,-17,-7.0,1029.0,11.62,0,0,1,0,1,0,2010-01-09 10:00:00
11,66.0,-17,-6.0,1030.0,17.43,0,0,1,0,1,0,2010-01-09 11:00:00
12,40.0,-16,-6.0,1029.0,23.24,0,0,1,0,1,0,2010-01-09 12:00:00
13,49.0,-16,-5.0,1029.0,28.16,0,0,1,0,1,0,2010-01-09 13:00:00
14,50.0,-15,-4.0,1029.0,33.08,0,0,1,0,1,0,2010-01-09 14:00:00
15,49.0,-14,-4.0,1028.0,37.1,0,0,1,0,1,0,2010-01-09 15:00:00
16,41.0,-15,-4.0,1029.0,38.89,0,0,1,0,1,0,2010-01-09 16:00:00
17,37.0,-15,-4.0,1030.0,1.79,0,0,1,0,0,1,2010-01-09 17:00:00
18,45.0,-15,-7.0,1030.0,3.13,0,0,1,0,1,0,2010-01-09 18:00:00
19,44.0,-15,-6.0,1031.0,3.13,0,0,1,0,0,1,2010-01-09 19:00:00
20,54.0,-15,-7.0,1032.0,4.92,0,0,1,0,0,1,2010-01-09 20:00:00
21,50.0,-15,-6.0,1032.0,3.13,0,0,1,0,1,0,2010-01-09 21:00:00
22,47.0,-15,-8.0,1033.0,0.45,0,0,0,0,0,0,2010-01-09 22:00:00
23,66.0,-15,-8.0,1033.0,0.9,0,0,0,0,0,0,2010-01-09 23:00:00
0,75.0,-15,-11.0,1033.0,0.89,0,0,1,0,0,1,2010-01-10 00:00:00
1,82.0,-17,-13.0,1033.0,1.78,0,0,1,0,0,1,2010-01-10 01:00:00
2,66.0,-17,-12.0,1033.0,4.91,0,0,1,0,0,1,2010-01-10 02:00:00
3,83.0,-17,-13.0,1033.0,8.04,0,0,1,0,0,1,2010-01-10 03:00:00
4,62.0,-19,-14.0,1032.0,9.83,0,0,1,0,0,1,2010-01-10 04:00:00
5,40.0,-18,-13.0,1032.0,12.96,0,0,1,0,0,1,2010-01-10 05:00:00
6,23.0,-19,-13.0,1032.0,16.09,0,0,1,0,0,1,2010-01-10 06:00:00
7,25.0,-19,-14.0,1033.0,19.22,0,0,1,0,0,1,2010-01-10 07:00:00
8,27.0,-19,-14.0,1034.0,22.35,0,0,1,0,0,1,2010-01-10 08:00:00
9,35.0,-17,-12.0,1033.0,24.14,0,0,1,0,0,1,2010-01-10 09:00:00
10,50.0,-16,-7.0,1033.0,4.02,0,0,1,0,1,0,2010-01-10 10:00:00
11,70.0,-15,-7.0,1033.0,3.13,0,0,1,0,0,1,2010-01-10 11:00:00
12,75.0,-15,-7.0,1032.0,6.26,0,0,1,0,0,1,2010-01-10 12:00:00
13,58.0,-14,-6.0,1031.0,9.39,0,0,1,0,0,1,2010-01-10 13:00:00
14,70.0,-14,-6.0,1031.0,12.52,0,0,1,0,0,1,2010-01-10 14:00:00
15,68.0,-13,-5.0,1030.0,14.31,0,0,1,0,0,1,2010-01-10 15:00:00
16,71.0,-14,-5.0,1031.0,16.1,0,0,1,0,0,1,2010-01-10 16:00:00
17,88.0,-14,-6.0,1031.0,19.23,0,0,1,0,0,1,2010-01-10 17:00:00
18,84.0,-13,-7.0,1032.0,23.25,0,0,1,0,0,1,2010-01-10 18:00:00
19,83.0,-15,-6.0,1032.0,27.27,0,0,1,0,0,1,2010-01-10 19:00:00
20,66.0,-15,-6.0,1033.0,30.4,0,0,1,0,0,1,2010-01-10 20:00:00
21,27.0,-15,-4.0,1034.0,35.32,0,0,1,0,0,1,2010-01-10 21:00:00
22,24.0,-16,-4.0,1034.0,44.26,0,0,1,0,0,1,2010-01-10 22:00:00
23,22.0,-17,-5.0,1035.0,52.31,0,0,1,0,0,1,2010-01-10 23:00:00
0,23.0,-17,-6.0,1035.0,60.36,0,0,1,0,0,1,2010-01-11 00:00:00
1,27.0,-17,-8.0,1035.0,0.89,0,0,0,0,0,0,2010-01-11 01:00:00
2,23.0,-19,-11.0,1036.0,4.02,0,0,1,0,0,1,2010-01-11 02:00:00
3,17.0,-20,-11.0,1036.0,8.94,0,0,1,0,0,1,2010-01-11 03:00:00
4,17.0,-21,-11.0,1035.0,4.02,0,0,1,0,1,0,2010-01-11 04:00:00
5,16.0,-22,-12.0,1035.0,3.13,0,0,1,0,0,1,2010-01-11 05:00:00
6,16.0,-22,-12.0,1035.0,4.92,0,0,1,0,1,0,2010-01-11 06:00:00
7,20.0,-22,-13.0,1036.0,5.81,0,0,1,0,0,1,2010-01-11 07:00:00
8,20.0,-22,-9.0,1036.0,13.86,0,0,1,0,0,1,2010-01-11 08:00:00
9,18.0,-22,-10.0,1036.0,21.91,0,0,1,0,0,1,2010-01-11 09:00:00
10,25.0,-22,-9.0,1036.0,29.06,0,0,1,0,0,1,2010-01-11 10:00:00
11,26.0,-21,-9.0,1036.0,33.08,0,0,1,0,0,1,2010-01-11 11:00:00
12,27.0,-20,-6.0,1035.0,42.02,0,0,1,0,0,1,2010-01-11 12:00:00
13,28.0,-19,-5.0,1034.0,50.96,0,0,1,0,0,1,2010-01-11 13:00:00
14,15.0,-19,-5.0,1033.0,59.01,0,0,1,0,0,1,2010-01-11 14:00:00
15,24.0,-20,-5.0,1033.0,66.16,0,0,1,0,0,1,2010-01-11 15:00:00
16,13.0,-20,-5.0,1032.0,71.97,0,0,1,0,0,1,2010-01-11 16:00:00
17,13.0,-20,-5.0,1033.0,76.89,0,0,1,0,0,1,2010-01-11 17:00:00
18,13.0,-20,-7.0,1033.0,81.81,0,0,1,0,0,1,2010-01-11 18:00:00
19,17.0,-22,-7.0,1033.0,85.83,0,0,1,0,0,1,2010-01-11 19:00:00
20,20.0,-22,-8.0,1033.0,89.85,0,0,1,0,0,1,2010-01-11 20:00:00
21,27.0,-23,-10.0,1033.0,91.64,0,0,1,0,0,1,2010-01-11 21:00:00
22,20.0,-23,-13.0,1033.0,93.43,0,0,1,0,0,1,2010-01-11 22:00:00
23,15.0,-22,-12.0,1032.0,0.89,0,0,0,0,0,0,2010-01-11 23:00:00
0,21.0,-22,-15.0,1031.0,1.78,0,0,0,0,0,0,2010-01-12 00:00:00
1,21.0,-22,-14.0,1031.0,1.79,0,0,1,0,1,0,2010-01-12 01:00:00
2,37.0,-22,-14.0,1031.0,0.89,0,0,1,0,0,1,2010-01-12 02:00:00
3,26.0,-24,-18.0,1030.0,1.79,0,0,1,0,1,0,2010-01-12 03:00:00
4,15.0,-24,-13.0,1030.0,3.58,0,0,1,0,1,0,2010-01-12 04:00:00
5,9.0,-25,-14.0,1030.0,3.13,0,0,1,0,0,1,2010-01-12 05:00:00
6,11.0,-24,-14.0,1030.0,7.15,0,0,1,0,0,1,2010-01-12 06:00:00
7,11.0,-25,-12.0,1030.0,12.96,0,0,1,0,0,1,2010-01-12 07:00:00
8,16.0,-26,-14.0,1030.0,16.98,0,0,1,0,0,1,2010-01-12 08:00:00
9,13.0,-25,-12.0,1031.0,21.0,0,0,1,0,0,1,2010-01-12 09:00:00
10,15.0,-25,-11.0,1031.0,26.81,0,0,1,0,0,1,2010-01-12 10:00:00
11,21.0,-24,-11.0,1030.0,35.75,0,0,1,0,0,1,2010-01-12 11:00:00
12,24.0,-23,-11.0,1029.0,47.82,0,0,1,0,0,1,2010-01-12 12:00:00
13,22.0,-22,-11.0,1029.0,63.02,0,0,1,0,0,1,2010-01-12 13:00:00
14,22.0,-23,-11.0,1029.0,75.98,0,0,1,0,0,1,2010-01-12 14:00:00
15,22.0,-22,-11.0,1029.0,88.05,0,0,1,0,0,1,2010-01-12 15:00:00
16,19.0,-23,-11.0,1030.0,101.01,0,0,1,0,0,1,2010-01-12 16:00:00
17,23.0,-24,-11.0,1030.0,109.06,0,0,1,0,0,1,2010-01-12 17:00:00
18,25.0,-24,-11.0,1032.0,118.0,0,0,1,0,0,1,2010-01-12 18:00:00
19,25.0,-23,-11.0,1032.0,126.05,0,0,1,0,0,1,2010-01-12 19:00:00
20,31.0,-23,-12.0,1032.0,134.1,0,0,1,0,0,1,2010-01-12 20:00:00
21,25.0,-24,-12.0,1033.0,142.15,0,0,1,0,0,1,2010-01-12 21:00:00
22,22.0,-23,-12.0,1033.0,150.2,0,0,1,0,0,1,2010-01-12 22:00:00
23,22.0,-23,-12.0,1034.0,160.03,0,0,1,0,0,1,2010-01-12 23:00:00
0,15.0,-24,-12.0,1034.0,169.86,0,0,1,0,0,1,2010-01-13 00:00:00
1,16.0,-24,-12.0,1033.0,178.8,0,0,1,0,0,1,2010-01-13 01:00:00
2,11.0,-25,-12.0,1033.0,189.98,0,0,1,0,0,1,2010-01-13 02:00:00
3,11.0,-24,-13.0,1033.0,198.03,0,0,1,0,0,1,2010-01-13 03:00:00
4,12.0,-25,-12.0,1032.0,205.18,0,0,1,0,0,1,2010-01-13 04:00:00
5,11.0,-25,-12.0,1033.0,215.01,0,0,1,0,0,1,2010-01-13 05:00:00
6,12.0,-25,-12.0,1032.0,226.19,0,0,1,0,0,1,2010-01-13 06:00:00
7,27.0,-25,-12.0,1032.0,235.13,0,0,1,0,0,1,2010-01-13 07:00:00
8,28.0,-25,-12.0,1032.0,243.18,0,0,1,0,0,1,2010-01-13 08:00:00
9,34.0,-23,-11.0,1033.0,252.12,0,0,1,0,0,1,2010-01-13 09:00:00
10,33.0,-23,-10.0,1033.0,257.93,0,0,1,0,0,1,2010-01-13 10:00:00
11,36.0,-22,-9.0,1033.0,263.74,0,0,1,0,0,1,2010-01-13 11:00:00
12,26.0,-21,-8.0,1031.0,270.89,0,0,1,0,0,1,2010-01-13 12:00:00
13,49.0,-21,-6.0,1030.0,278.94,0,0,1,0,0,1,2010-01-13 13:00:00
14,52.0,-20,-5.0,1029.0,286.99,0,0,1,0,0,1,2010-01-13 14:00:00
15,47.0,-22,-5.0,1028.0,294.14,0,0,1,0,0,1,2010-01-13 15:00:00
16,47.0,-21,-5.0,1028.0,299.06,0,0,1,0,0,1,2010-01-13 16:00:00
17,39.0,-19,-7.0,1028.0,1.79,0,0,0,1,1,0,2010-01-13 17:00:00
18,59.0,-19,-8.0,1028.0,0.45,0,0,0,0,0,0,2010-01-13 18:00:00
19,76.0,-20,-9.0,1028.0,1.34,0,0,0,0,0,0,2010-01-13 19:00:00
20,96.0,-19,-10.0,1027.0,1.79,0,0,0,1,1,0,2010-01-13 20:00:00
21,95.0,-19,-13.0,1027.0,0.89,0,0,0,0,0,0,2010-01-13 21:00:00
22,68.0,-18,-12.0,1027.0,1.78,0,0,0,0,0,0,2010-01-13 22:00:00
23,65.0,-18,-13.0,1027.0,0.89,0,0,1,0,1,0,2010-01-13 23:00:00
0,75.0,-18,-14.0,1026.0,1.78,0,0,1,0,1,0,2010-01-14 00:00:00
